isDGA,num_nouns,num_verbs,num_adverbs,num_adjectives,num_others,similarity_avg,noun_ratio,verb_ratio,adverb_ratio,adjectives_ratio,others_ratio
1,1,0,1,0,0,0.15291637182235718,0.5,0.0,0.5,0.0,0.0
1,1,0,0,1,0,0.031107161194086075,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,-0.01624026894569397,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.08367516100406647,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.18503259122371674,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.05819053202867508,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.003951094578951597,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.11902931332588196,0.5,0.0,0.0,0.5,0.0
1,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.09299220144748688,0.5,0.0,0.0,0.5,0.0
1,1,0,1,0,0,0.164544478058815,0.5,0.0,0.5,0.0,0.0
1,2,0,0,0,0,0.06174720078706741,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.1343308985233307,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.08404092490673065,0.5,0.5,0.0,0.0,0.0
1,1,0,0,1,0,0.1778619885444641,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,-0.055754516273736954,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.12081529945135117,0.5,0.0,0.0,0.5,0.0
1,1,1,0,0,0,0.2758716344833374,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.03816637396812439,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.07738218456506729,0.5,0.0,0.0,0.5,0.0
1,1,1,0,0,0,0.055615898221731186,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.16900959610939026,1.0,0.0,0.0,0.0,0.0
1,0,0,1,0,1,0.18654344975948334,0.0,0.0,0.5,0.0,0.5
1,2,0,0,0,0,0.06632624566555023,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.060326285660266876,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.15671232342720032,1.0,0.0,0.0,0.0,0.0
1,0,0,1,1,0,0.3566444516181946,0.0,0.0,0.5,0.5,0.0
1,1,0,0,1,0,0.18626311421394348,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.03476941958069801,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.009908678941428661,0.5,0.5,0.0,0.0,0.0
1,1,0,0,1,0,0.030353091657161713,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.055270493030548096,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.0852179154753685,0.5,0.0,0.0,0.5,0.0
1,1,1,0,0,0,0.3135002553462982,0.5,0.5,0.0,0.0,0.0
1,0,1,1,0,0,-0.02317189797759056,0.0,0.5,0.5,0.0,0.0
1,2,0,0,0,0,0.16546207666397095,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.02818652242422104,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.008525262586772442,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.10145609080791473,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.08622526377439499,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.13538573682308197,1.0,0.0,0.0,0.0,0.0
1,1,0,1,0,0,0.026249997317790985,0.5,0.0,0.5,0.0,0.0
1,1,0,0,0,1,0.031188296154141426,0.5,0.0,0.0,0.0,0.5
1,2,0,0,0,0,0.15940974652767181,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.16347086429595947,0.5,0.0,0.0,0.5,0.0
1,1,0,0,0,1,0.04040740802884102,0.5,0.0,0.0,0.0,0.5
1,2,0,0,0,0,-0.0062245214357972145,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.04264507442712784,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,-0.0056908647529780865,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.04653482511639595,1.0,0.0,0.0,0.0,0.0
1,0,0,0,2,0,0.0004213356296531856,0.0,0.0,0.0,1.0,0.0
1,2,0,0,0,0,0.02193128876388073,1.0,0.0,0.0,0.0,0.0
1,0,1,0,0,1,0.01134619489312172,0.0,0.5,0.0,0.0,0.5
1,2,0,0,0,0,0.028835395351052284,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.18935763835906982,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.11997431516647339,0.5,0.0,0.0,0.5,0.0
1,0,1,0,1,0,0.5485535264015198,0.0,0.5,0.0,0.5,0.0
1,0,0,0,2,0,0.1832527220249176,0.0,0.0,0.0,1.0,0.0
1,2,0,0,0,0,0.0621001198887825,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.10953649878501892,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.0730431079864502,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.13766980171203613,0.5,0.5,0.0,0.0,0.0
1,1,0,0,1,0,-0.0007595318020321429,0.5,0.0,0.0,0.5,0.0
1,1,1,0,0,0,0.043826546519994736,0.5,0.5,0.0,0.0,0.0
1,0,1,0,2,0,0.1108191383536905,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
1,1,0,1,0,0,0.003697045613080263,0.5,0.0,0.5,0.0,0.0
1,1,0,0,0,1,0.15820467472076416,0.5,0.0,0.0,0.0,0.5
1,1,1,0,0,0,0.16537131369113922,0.5,0.5,0.0,0.0,0.0
1,1,0,1,0,0,0.019704565405845642,0.5,0.0,0.5,0.0,0.0
1,1,0,1,0,0,0.14837893843650818,0.5,0.0,0.5,0.0,0.0
1,0,0,1,1,0,0.03140419349074364,0.0,0.0,0.5,0.5,0.0
1,1,0,1,0,0,0.1396758109331131,0.5,0.0,0.5,0.0,0.0
1,0,1,0,0,1,0.12817056477069855,0.0,0.5,0.0,0.0,0.5
1,1,0,0,1,0,0.08093348890542984,0.5,0.0,0.0,0.5,0.0
1,1,0,0,0,1,0.15438106656074524,0.5,0.0,0.0,0.0,0.5
1,2,0,0,0,0,0.0213629100471735,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.034051112830638885,0.5,0.0,0.0,0.5,0.0
1,0,0,0,2,0,0.15341632068157196,0.0,0.0,0.0,1.0,0.0
1,1,1,0,0,0,0.11360420286655426,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.09808779507875443,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.06475251913070679,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.08501044660806656,1.0,0.0,0.0,0.0,0.0
1,1,0,1,0,0,0.05524223670363426,0.5,0.0,0.5,0.0,0.0
1,1,0,0,1,0,0.11517026275396347,0.5,0.0,0.0,0.5,0.0
1,1,1,0,0,0,-0.005005187354981899,0.5,0.5,0.0,0.0,0.0
1,0,1,0,0,1,0.04484987258911133,0.0,0.5,0.0,0.0,0.5
1,1,0,1,0,0,0.0050116004422307014,0.5,0.0,0.5,0.0,0.0
1,1,0,0,1,0,0.10115613788366318,0.5,0.0,0.0,0.5,0.0
1,1,1,0,0,0,0.005578355863690376,0.5,0.5,0.0,0.0,0.0
1,1,0,1,0,0,0.09471721947193146,0.5,0.0,0.5,0.0,0.0
1,2,0,0,0,0,0.1770395040512085,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.005878790747374296,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.05304228886961937,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.15163566172122955,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.19522149860858917,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.09160053730010986,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.005446701310575008,1.0,0.0,0.0,0.0,0.0
1,1,0,0,0,1,0.0659157782793045,0.5,0.0,0.0,0.0,0.5
1,1,0,0,0,1,0.025309836491942406,0.5,0.0,0.0,0.0,0.5
1,1,1,0,0,0,0.09181113541126251,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.07308992743492126,1.0,0.0,0.0,0.0,0.0
1,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.06204908341169357,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.038321685045957565,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.06448225677013397,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.09594912827014923,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.0076398951932787895,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.007830783724784851,0.5,0.0,0.0,0.5,0.0
1,1,0,1,0,0,0.04034905135631561,0.5,0.0,0.5,0.0,0.0
1,1,1,0,0,0,0.17807456851005554,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.08215455710887909,1.0,0.0,0.0,0.0,0.0
1,1,0,0,0,1,0.1104709655046463,0.5,0.0,0.0,0.0,0.5
1,1,0,1,0,0,0.09714840352535248,0.5,0.0,0.5,0.0,0.0
1,2,0,0,0,0,0.01605262979865074,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.05027163773775101,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.06016077101230621,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.024988776072859764,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.009465043433010578,0.5,0.0,0.0,0.5,0.0
1,1,0,0,0,1,0.18686531484127045,0.5,0.0,0.0,0.0,0.5
1,1,0,1,0,0,-0.01504600327461958,0.5,0.0,0.5,0.0,0.0
1,1,1,0,0,0,-0.04996076226234436,0.5,0.5,0.0,0.0,0.0
1,1,0,0,1,0,0.04992758110165596,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.05442832410335541,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,-0.018963804468512535,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.0520143024623394,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.12644168734550476,0.5,0.0,0.0,0.5,0.0
1,1,0,1,0,0,0.13077306747436523,0.5,0.0,0.5,0.0,0.0
1,2,0,0,0,0,0.10129185765981674,1.0,0.0,0.0,0.0,0.0
1,0,1,1,0,0,0.13835260272026062,0.0,0.5,0.5,0.0,0.0
1,2,0,0,0,0,0.15671491622924805,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.04399759694933891,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.05312187597155571,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.0026061194948852062,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.05283134803175926,0.5,0.5,0.0,0.0,0.0
1,1,0,1,0,0,0.11023127287626266,0.5,0.0,0.5,0.0,0.0
1,1,0,0,0,1,0.08964697271585464,0.5,0.0,0.0,0.0,0.5
1,2,0,0,0,0,0.224141463637352,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,-0.07654593884944916,0.5,0.5,0.0,0.0,0.0
1,0,1,0,0,1,0.2196190506219864,0.0,0.5,0.0,0.0,0.5
1,0,0,1,1,0,0.09064186364412308,0.0,0.0,0.5,0.5,0.0
1,1,0,0,1,0,0.02623985894024372,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.004343169741332531,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,-0.02078390121459961,1.0,0.0,0.0,0.0,0.0
1,1,0,1,0,0,0.07628021389245987,0.5,0.0,0.5,0.0,0.0
1,1,0,0,1,0,-0.009246637113392353,0.5,0.0,0.0,0.5,0.0
1,1,0,0,1,0,0.0786433219909668,0.5,0.0,0.0,0.5,0.0
1,1,1,0,0,0,0.0954805463552475,0.5,0.5,0.0,0.0,0.0
1,1,0,1,0,0,0.05233460292220116,0.5,0.0,0.5,0.0,0.0
1,2,0,0,0,0,0.05600624531507492,1.0,0.0,0.0,0.0,0.0
1,1,0,1,0,0,0.06363208591938019,0.5,0.0,0.5,0.0,0.0
1,2,0,0,0,0,0.015187086537480354,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.24365991353988647,1.0,0.0,0.0,0.0,0.0
1,1,0,0,0,1,0.07672687619924545,0.5,0.0,0.0,0.0,0.5
1,1,0,0,1,0,0.12843206524848938,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.23645062744617462,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.1467651128768921,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.13117556273937225,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.0708792507648468,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.09973034262657166,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.1810360550880432,1.0,0.0,0.0,0.0,0.0
1,1,1,0,0,0,0.020294293761253357,0.5,0.5,0.0,0.0,0.0
1,1,0,0,1,0,0.061722442507743835,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.014915556646883488,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.050915393978357315,0.5,0.0,0.0,0.5,0.0
1,0,1,1,0,0,0.018490344285964966,0.0,0.5,0.5,0.0,0.0
1,2,0,0,0,0,-0.04167364910244942,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.15283621847629547,1.0,0.0,0.0,0.0,0.0
1,0,1,0,1,0,0.003686589887365699,0.0,0.5,0.0,0.5,0.0
1,1,0,0,1,0,0.15633109211921692,0.5,0.0,0.0,0.5,0.0
1,0,0,0,2,0,0.06607130914926529,0.0,0.0,0.0,1.0,0.0
1,1,0,1,0,0,0.09476534277200699,0.5,0.0,0.5,0.0,0.0
1,2,0,0,0,0,0.07514496147632599,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.11085392534732819,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.11567751318216324,0.5,0.0,0.0,0.5,0.0
1,1,0,0,0,1,0.1209276020526886,0.5,0.0,0.0,0.0,0.5
1,2,0,0,0,0,0.14819791913032532,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.032517511397600174,1.0,0.0,0.0,0.0,0.0
1,1,0,0,0,1,0.06417188793420792,0.5,0.0,0.0,0.0,0.5
1,1,1,0,0,0,0.10772412270307541,0.5,0.5,0.0,0.0,0.0
1,2,0,0,0,0,0.05052950233221054,1.0,0.0,0.0,0.0,0.0
1,1,0,0,0,1,0.1405753195285797,0.5,0.0,0.0,0.0,0.5
1,2,0,0,0,0,0.13151352107524872,1.0,0.0,0.0,0.0,0.0
1,1,0,0,1,0,0.036865055561065674,0.5,0.0,0.0,0.5,0.0
1,2,0,0,0,0,0.13752353191375732,1.0,0.0,0.0,0.0,0.0
1,2,0,0,0,0,0.08304054290056229,1.0,0.0,0.0,0.0,0.0
